timestamp,tx_type,received_amount,received_currency,sent_amount,sent_currency,fee,fee_currency,comment,txid,url,exchange,wallet_address
2022-04-03 18:39:00,_UNKNOWN,85.00200644,SOL,,,,,,T8TLfWYhe2MBZph7kVjqNJFwnDEEQKvfHeBa6p6q6mAUJot9hXhYTNknF3AbCWHAjhQccZNgwEZnoQN768nQBGv,https://solscan.io/tx/T8TLfWYhe2MBZph7kVjqNJFwnDEEQKvfHeBa6p6q6mAUJot9hXhYTNknF3AbCWHAjhQccZNgwEZnoQN768nQBGv,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-03 18:37:25,_UNKNOWN,0.00200644,SOL,,,,,,3GnUK791cx7i2VZ2tmtehVj5E3EXVMAsvbVqUd8vyEbefA2JPXabmb2YAY1yvcXGDpbVRVsYGN652Nh8bMxRZbi,https://solscan.io/tx/3GnUK791cx7i2VZ2tmtehVj5E3EXVMAsvbVqUd8vyEbefA2JPXabmb2YAY1yvcXGDpbVRVsYGN652Nh8bMxRZbi,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-03 04:50:30,_UNKNOWN,1.0,FnSacV1CRZJrodJvFUURfNVhwA7BNmew8vcMNLQxjese,,,,,,myRnKHkpV6w5qJfMHhPX1auKeWrjLxcQYaNNXRcs8tM4HLH2xFMLvJBL8BHFYijvmY5kSqQozGQMRmnnJBehA1p,https://solscan.io/tx/myRnKHkpV6w5qJfMHhPX1auKeWrjLxcQYaNNXRcs8tM4HLH2xFMLvJBL8BHFYijvmY5kSqQozGQMRmnnJBehA1p,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-03 04:50:30,_UNKNOWN,0.00201144,SOL,,,,,,myRnKHkpV6w5qJfMHhPX1auKeWrjLxcQYaNNXRcs8tM4HLH2xFMLvJBL8BHFYijvmY5kSqQozGQMRmnnJBehA1p,https://solscan.io/tx/myRnKHkpV6w5qJfMHhPX1auKeWrjLxcQYaNNXRcs8tM4HLH2xFMLvJBL8BHFYijvmY5kSqQozGQMRmnnJBehA1p,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 22:21:56,_UNKNOWN,,,144.00201644,SOL,,,,64vv1NqPCgHbRqag4VDrcAgf2rpCLAMy9gCMKrAYSqX8KEhjajKBFc54Sexa1scqu4hFVjxbqzQ81GPK3ad4PRFa,https://solscan.io/tx/64vv1NqPCgHbRqag4VDrcAgf2rpCLAMy9gCMKrAYSqX8KEhjajKBFc54Sexa1scqu4hFVjxbqzQ81GPK3ad4PRFa,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 22:09:05,_UNKNOWN,,,,,0.00201644,SOL,,5teXcAZYKKLVrENxc7E4NsZhkvFEdarxXEizV17ABQtFHmMq8wVVTDZedhhLs9gCp2XeUSxeMn7vu8ZCgkceQtNJ,https://solscan.io/tx/5teXcAZYKKLVrENxc7E4NsZhkvFEdarxXEizV17ABQtFHmMq8wVVTDZedhhLs9gCp2XeUSxeMn7vu8ZCgkceQtNJ,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 22:04:14,_UNKNOWN,,,85.000005,SOL,,,,R53eGE6DjipE7BghEnKQvnBnPkCqxxYJFELiYRFkihDyfGG1oaRQcycJ5kqMGx6uiicLgnFD1CEf2f4YsTDHsoL,https://solscan.io/tx/R53eGE6DjipE7BghEnKQvnBnPkCqxxYJFELiYRFkihDyfGG1oaRQcycJ5kqMGx6uiicLgnFD1CEf2f4YsTDHsoL,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 22:01:41,_UNKNOWN,1.0,AB7F9tCCG4Ub1bsk8BGUPtJBsRLzi7nYGVf1mmsSfGFQ,,,,,solanart,3qCqZnMvR5e9JGpxdvCUwtsJMAqbw2m3eWCtQduncRdfSqzWsVnbtMqsecsXtZUKaHxUHQDMkFnR2NQ7pggCZHRG,https://solscan.io/tx/3qCqZnMvR5e9JGpxdvCUwtsJMAqbw2m3eWCtQduncRdfSqzWsVnbtMqsecsXtZUKaHxUHQDMkFnR2NQ7pggCZHRG,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 22:01:41,_UNKNOWN,0.00251256,SOL,,,,,solanart,3qCqZnMvR5e9JGpxdvCUwtsJMAqbw2m3eWCtQduncRdfSqzWsVnbtMqsecsXtZUKaHxUHQDMkFnR2NQ7pggCZHRG,https://solscan.io/tx/3qCqZnMvR5e9JGpxdvCUwtsJMAqbw2m3eWCtQduncRdfSqzWsVnbtMqsecsXtZUKaHxUHQDMkFnR2NQ7pggCZHRG,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
2022-04-02 21:51:19,_UNKNOWN,1.0,DNrcDSv81K1SL3akCHdkeWGWTFLuA7FW257jN9wuaeKP,,,,,,5GxFYzK1Ybnd5de5WmsGApvRP1ZfM8Fj91xhcE9TaSwpKjQNVBKYSSytUD7P1W1wKrZ4hjWfHfPJQkfWQYMDwax1,https://solscan.io/tx/5GxFYzK1Ybnd5de5WmsGApvRP1ZfM8Fj91xhcE9TaSwpKjQNVBKYSSytUD7P1W1wKrZ4hjWfHfPJQkfWQYMDwax1,solana_blockchain,9Be37npkkAwpwPzjLnDKt6opz5fSuYHriykYXyMeAyad
